node: SAN, pagerank: 0.00108119
node: SJU, pagerank: 0.00107401
node: BUD, pagerank: 0.00107318
node: CEB, pagerank: 0.00106844
node: MLA, pagerank: 0.00106792
node: OTP, pagerank: 0.00106602
node: VCE, pagerank: 0.00106101
node: DLC, pagerank: 0.0010608
node: GEA, pagerank: 0.00105906
node: WLG, pagerank: 0.00105583
node: KTM, pagerank: 0.00105336
node: AMM, pagerank: 0.0010492
node: OVB, pagerank: 0.0010436
node: CCU, pagerank: 0.00102747
node: CNF, pagerank: 0.00102716
node: NAN, pagerank: 0.00101909
node: YEG, pagerank: 0.0010079
node: KBP, pagerank: 0.000999222
node: DMM, pagerank: 0.000995034
node: RIX, pagerank: 0.000993319
node: BRS, pagerank: 0.000982411
node: PAC, pagerank: 0.000980616
node: WIL, pagerank: 0.000971574
node: AYT, pagerank: 0.000968856
node: TAO, pagerank: 0.000965888
node: OPO, pagerank: 0.000959341
node: CHC, pagerank: 0.000959271
node: KHI, pagerank: 0.000955665
node: MED, pagerank: 0.00095263
node: SSA, pagerank: 0.000948181
node: DAC, pagerank: 0.000945844
node: YXL, pagerank: 0.000944439
node: SXF, pagerank: 0.000944136
node: ALA, pagerank: 0.000942096
node: BLR, pagerank: 0.000940735
node: NGO, pagerank: 0.000934983
node: CMB, pagerank: 0.000932384
node: CGO, pagerank: 0.000921235
node: ABV, pagerank: 0.000916988
node: NKG, pagerank: 0.000910528
node: RGN, pagerank: 0.000909776
node: JUV, pagerank: 0.000908904
node: POA, pagerank: 0.000902794
node: CTS, pagerank: 0.000897504
node: TSN, pagerank: 0.000888632
node: GDL, pagerank: 0.000888255
node: YWG, pagerank: 0.000883449
node: BSL, pagerank: 0.00088244
node: BNA, pagerank: 0.000878663
node: BGO, pagerank: 0.000877054
node: UIO, pagerank: 0.000876354
node: BLQ, pagerank: 0.000874493
node: PSA, pagerank: 0.000872731
node: CVG, pagerank: 0.000868513
node: BKI, pagerank: 0.000867882
node: HOU, pagerank: 0.000866313
node: AKN, pagerank: 0.000865945
node: CGH, pagerank: 0.000848666
node: FAO, pagerank: 0.000839186
node: MAA, pagerank: 0.000837319
node: KWE, pagerank: 0.0008371
node: MCI, pagerank: 0.000836842
node: EIN, pagerank: 0.000833407
node: FUK, pagerank: 0.000832074
node: NAY, pagerank: 0.000829684
node: MYY, pagerank: 0.000826324
node: AZA, pagerank: 0.000824561
node: SKG, pagerank: 0.0008231
node: YHZ, pagerank: 0.000819306
node: PUJ, pagerank: 0.000818494
node: FIH, pagerank: 0.00081815
node: HER, pagerank: 0.000814165
node: MAO, pagerank: 0.000814149
node: ISB, pagerank: 0.000810846
node: LCA, pagerank: 0.00080948
node: LPB, pagerank: 0.000805964
node: DRW, pagerank: 0.000803678
node: FOC, pagerank: 0.000801344
node: CWB, pagerank: 0.000799134
node: BVA, pagerank: 0.000796079
node: IKT, pagerank: 0.000795478
node: NTE, pagerank: 0.000794643
node: TLS, pagerank: 0.000788143
node: CJU, pagerank: 0.000787869
node: VLC, pagerank: 0.000784231
node: BEG, pagerank: 0.000783642
node: CGB, pagerank: 0.000783062
node: EMA, pagerank: 0.000782824
node: BAH, pagerank: 0.000782232
node: NNG, pagerank: 0.000782149
node: SUB, pagerank: 0.000781111
